MatchName,StrikerName,BatClubName,Inns,overs,x,y,X,Y,BatRuns,batwkts,BattingType,PaceOrSpin,1s,2s,3s,4s,6s,BowlerType,WagonWheel,0s
AusvsNZ,Kane Williamson,New Zealand,1,11.2,274,365,155,525,0,0,RHB,2,0,0,0,0,0,5,22,1
AusvsNZ,Kane Williamson,New Zealand,1,11.3,243,371,120,51,1,0,RHB,2,1,0,0,0,0,5,15,
AusvsNZ,Glenn Phillips,New Zealand,1,11.4,309,332,168,603,1,0,RHB,2,1,0,0,0,0,5,23,
AusvsNZ,Kane Williamson,New Zealand,1,11.5,278,335,155,698,2,0,RHB,2,0,1,0,0,0,5,10,
AusvsNZ,Kane Williamson,New Zealand,1,11.6,258,366,86,419,1,0,RHB,2,1,0,0,0,0,5,10,
AusvsNZ,Kane Williamson,New Zealand,1,12.1,307,334,209,657,0,0,RHB,2,0,0,0,0,0,3,8,1
AusvsNZ,Glenn Phillips,New Zealand,1,12.2,307,384,172,425,1,0,RHB,2,1,0,0,0,0,3,19,
AusvsNZ,Kane Williamson,New Zealand,1,12.3,297,353,172,623,6,0,RHB,2,0,0,0,0,1,3,21,
AusvsNZ,Kane Williamson,New Zealand,1,12.4,291,378,172,500,6,0,RHB,2,0,0,0,0,1,3,21,
AusvsNZ,Kane Williamson,New Zealand,1,12.5,273,348,139,26,0,0,RHB,2,0,0,0,0,0,3,21,1
AusvsNZ,Glenn Phillips,New Zealand,1,12.6,237,333,156,603,1,0,RHB,2,1,0,0,0,0,3,19,
AusvsNZ,Glenn Phillips,New Zealand,1,13.1,278,374,139,569,0,0,RHB,1,0,0,0,0,0,1,6,1
AusvsNZ,Glenn Phillips,New Zealand,1,13.2,268,363,117,630,0,0,RHB,1,0,0,0,0,0,1,17,1
AusvsNZ,Glenn Phillips,New Zealand,1,13.3,224,319,93,814,1,0,RHB,1,1,0,0,0,0,1,19,
AusvsNZ,Kane Williamson,New Zealand,1,13.4,260,306,92,862,1,0,RHB,1,1,0,0,0,0,1,11,
AusvsNZ,Glenn Phillips,New Zealand,1,13.5,272,280,105,921,0,0,RHB,1,0,0,0,0,0,1,21,1
AusvsNZ,Kane Williamson,New Zealand,1,13.6,196,293,76,935,2,0,RHB,1,0,1,0,0,0,1,11,
AusvsNZ,Glenn Phillips,New Zealand,1,14.1,259,379,115,453,6,0,RHB,2,0,0,0,0,1,5,4,
AusvsNZ,Glenn Phillips,New Zealand,1,14.2,263,354,145,555,0,0,RHB,2,0,0,0,0,0,5,3,1
