StrikerName,BatRuns,WagonWheel
Jonny Bairstow,0,Point
Jonny Bairstow,0,Long On
Jos Buttler,4,Long Off
Jos Buttler,4,Covers
Jos Buttler,0,Point
Jos Buttler,5,Fine Leg
Jos Buttler,2,Covers
Jos Buttler,0,Third Man
Jos Buttler,1,Fine Leg
Jos Buttler,1,Fine Leg
Jonny Bairstow,4,Long Off
Jonny Bairstow,0,Point
Jonny Bairstow,1,Long On
Jos Buttler,1,Square Leg
Jonny Bairstow,1,Long Off
Jonny Bairstow,0,Long Off
Dawid Malan,1,Square Leg
Jos Buttler,0,Covers
Jos Buttler,1,Mid Wicket
Dawid Malan,0,Third Man
Dawid Malan,1,Square Leg
Dawid Malan,1,Square Leg
Jos Buttler,1,Square Leg
Dawid Malan,0,Fine Leg
Dawid Malan,1,Point
Jos Buttler,1,Long Off
Dawid Malan,1,Covers
Dawid Malan,1,Mid Wicket
Jos Buttler,0,Covers
Jos Buttler,4,Point
Jos Buttler,2,Fine Leg
Jos Buttler,0,Third Man
Jos Buttler,1,Long On
Jos Buttler,0,NULL
Moeen Ali,1,Long Off
Dawid Malan,1,Long Off
Moeen Ali,0,Covers
Moeen Ali,1,Mid Wicket
Dawid Malan,4,Covers
Moeen Ali,1,Point
Dawid Malan,0,Fine Leg
Dawid Malan,1,Third Man
Moeen Ali,0,Mid Wicket
Moeen Ali,1,Square Leg
Dawid Malan,4,Covers
Moeen Ali,1,Long Off
Dawid Malan,4,Covers
Dawid Malan,0,Fine Leg
Dawid Malan,4,Covers
Dawid Malan,1,Long On
Moeen Ali,1,Mid Wicket
Moeen Ali,1,Mid Wicket
Dawid Malan,3,Covers
Moeen Ali,1,Covers
Dawid Malan,1,Mid Wicket
Moeen Ali,0,Third Man
Moeen Ali,1,Covers
Moeen Ali,1,Fine Leg
Moeen Ali,1,Mid Wicket
Dawid Malan,1,Point
Moeen Ali,1,Covers
Dawid Malan,0,Point
Dawid Malan,1,Square Leg
Moeen Ali,4,Point
Dawid Malan,1,Covers
Moeen Ali,1,Mid Wicket
Dawid Malan,0,Third Man
Dawid Malan,2,Long On
Dawid Malan,1,Covers
Moeen Ali,1,Long Off
Moeen Ali,2,Mid Wicket
Moeen Ali,1,Long Off
Dawid Malan,1,Point
Moeen Ali,4,Square Leg
Moeen Ali,1,Long Off
Dawid Malan,1,Fine Leg
Dawid Malan,6,Square Leg
Dawid Malan,0,Third Man
Liam Livingstone,1,Long On
Moeen Ali,0,Third Man
Moeen Ali,1,Long Off
Liam Livingstone,1,Square Leg
Liam Livingstone,1,Third Man
Liam Livingstone,1,Point
Moeen Ali,6,Mid Wicket
Moeen Ali,0,Mid Wicket
Moeen Ali,0,Third Man
Moeen Ali,2,Square Leg
Moeen Ali,1,Long Off
Moeen Ali,6,Square Leg
Moeen Ali,1,Long On
Liam Livingstone,1,Fine Leg
Moeen Ali,1,Long Off
Liam Livingstone,1,Third Man
Liam Livingstone,0,Fine Leg
Liam Livingstone,6,Long On
Moeen Ali,1,Mid Wicket
Liam Livingstone,2,Covers
Liam Livingstone,4,Covers
Liam Livingstone,1,Long Off
Moeen Ali,0,Fine Leg
Moeen Ali,1,Covers
Moeen Ali,1,Long Off
Liam Livingstone,0,Long Off
Moeen Ali,4,Covers
Moeen Ali,1,Square Leg
Eoin Morgan,1,Third Man
Eoin Morgan,2,Square Leg
Eoin Morgan,2,Covers
Martin Guptill,4,Covers
Martin Guptill,0,Third Man
Martin Guptill,0,Long On
Daryl Joseph Mitchell,1,Mid Wicket
Kane Williamson,0,Third Man
Kane Williamson,3,Mid Wicket
Kane Williamson,0,Long Off
Kane Williamson,0,Covers
Kane Williamson,0,Fine Leg
Kane Williamson,1,Mid Wicket
Daryl Joseph Mitchell,3,Mid Wicket
Kane Williamson,1,Mid Wicket
Kane Williamson,0,Fine Leg
Kane Williamson,0,Fine Leg
Kane Williamson,0,Covers
Kane Williamson,0,Fine Leg
Daryl Joseph Mitchell,0,Third Man
Daryl Joseph Mitchell,0,Covers
Devon Conway,0,Third Man
Devon Conway,0,Long Off
Devon Conway,0,Fine Leg
Devon Conway,1,Fine Leg
Devon Conway,0,Long On
Devon Conway,0,Mid Wicket
Devon Conway,4,Covers
Daryl Joseph Mitchell,2,Long Off
Daryl Joseph Mitchell,4,Fine Leg
Daryl Joseph Mitchell,1,Long On
Devon Conway,0,Fine Leg
Devon Conway,1,Long Off
Daryl Joseph Mitchell,0,Long On
Devon Conway,4,Point
Devon Conway,1,Long Off
Daryl Joseph Mitchell,0,Mid Wicket
Daryl Joseph Mitchell,1,Long On
Devon Conway,0,Fine Leg
Devon Conway,4,Covers
Daryl Joseph Mitchell,0,Point
Daryl Joseph Mitchell,0,Covers
Daryl Joseph Mitchell,2,Mid Wicket
Daryl Joseph Mitchell,1,Fine Leg
Devon Conway,1,Point
Daryl Joseph Mitchell,1,Long Off
Daryl Joseph Mitchell,0,Point
Daryl Joseph Mitchell,0,Fine Leg
Daryl Joseph Mitchell,1,Mid Wicket
Devon Conway,1,Long On
Daryl Joseph Mitchell,1,Mid Wicket
Devon Conway,1,Long On
Devon Conway,0,Third Man
Devon Conway,1,Fine Leg
Daryl Joseph Mitchell,0,Third Man
Daryl Joseph Mitchell,1,Covers
Devon Conway,1,Point
Daryl Joseph Mitchell,2,Long On
Devon Conway,0,Fine Leg
Devon Conway,1,Covers
Daryl Joseph Mitchell,1,Long On
Devon Conway,2,Covers
Devon Conway,4,Long Off
Devon Conway,0,Point
Daryl Joseph Mitchell,4,Long Off
Daryl Joseph Mitchell,1,Mid Wicket
Devon Conway,2,Square Leg
Daryl Joseph Mitchell,1,Third Man
Devon Conway,6,Point
Devon Conway,1,Covers
Daryl Joseph Mitchell,0,Third Man
Devon Conway,0,Fine Leg
Devon Conway,0,Third Man
Devon Conway,2,Long On
Devon Conway,0,Long On
Devon Conway,4,Covers
Devon Conway,1,Mid Wicket
Devon Conway,1,Point
Daryl Joseph Mitchell,1,Point
Devon Conway,2,Fine Leg
Devon Conway,1,Third Man
Daryl Joseph Mitchell,6,Long Off
Daryl Joseph Mitchell,1,Mid Wicket
Daryl Joseph Mitchell,1,Long On
Devon Conway,2,Long On
Devon Conway,0,Long Off
Devon Conway,0,NULL
Glenn Phillips,1,Third Man
Daryl Joseph Mitchell,1,Long Off
Daryl Joseph Mitchell,1,Covers
Glenn Phillips,1,Covers
Daryl Joseph Mitchell,2,Point
Daryl Joseph Mitchell,4,Fine Leg
Daryl Joseph Mitchell,1,Square Leg
Glenn Phillips,1,Mid Wicket
Glenn Phillips,0,Long Off
Daryl Joseph Mitchell,0,Third Man
Daryl Joseph Mitchell,0,Fine Leg
Daryl Joseph Mitchell,0,Third Man
Daryl Joseph Mitchell,1,Mid Wicket
James Neesham,1,Fine Leg
James Neesham,1,Mid Wicket
James Neesham,6,Square Leg
James Neesham,2,Fine Leg
James Neesham,1,Fine Leg
James Neesham,4,Long On
James Neesham,1,Fine Leg
James Neesham,6,Long On
James Neesham,2,Mid Wicket
James Neesham,1,Square Leg
James Neesham,0,Long Off
James Neesham,6,Mid Wicket
James Neesham,1,Covers
Daryl Joseph Mitchell,6,Long On
Daryl Joseph Mitchell,1,Long Off
James Neesham,0,Covers
Daryl Joseph Mitchell,2,Point
Daryl Joseph Mitchell,6,Point
Daryl Joseph Mitchell,6,Point
Daryl Joseph Mitchell,1,Point
Mitchell santner,1,Square Leg
Daryl Joseph Mitchell,4,Point
Stephan Baard,1,Third Man
Michael Lingen,1,Third Man
Michael Lingen,0,Long On
Michael Lingen,1,Third Man
Stephan Baard,0,Point
Stephan Baard,1,Square Leg
Michael Lingen,1,Point
Michael Lingen,1,Fine Leg
Stephan Baard,1,Third Man
Michael Lingen,4,Long Off
Michael Lingen,0,Point
Michael Lingen,0,Mid Wicket
Michael Lingen,4,Mid Wicket
Stephan Baard,1,Third Man
Stephan Baard,0,Covers
Stephan Baard,6,Long Off
Stephan Baard,2,Mid Wicket
Stephan Baard,1,Square Leg
Michael Lingen,0,Fine Leg
Michael Lingen,0,Third Man
Stephan Baard,1,Long On
Michael Lingen,0,Point
Michael Lingen,2,Long Off
Michael Lingen,1,Mid Wicket
Stephan Baard,0,Fine Leg
Stephan Baard,2,Mid Wicket
Michael Lingen,1,Long On
Stephan Baard,0,Fine Leg
Stephan Baard,1,Square Leg
Michael Lingen,0,Long Off
Craig Williams,0,Covers
Craig Williams,0,Long On
Stephan Baard,1,Long Off
Craig Williams,0,Long Off
Craig Williams,0,NULL
Gerhard Erasmus,0,Long Off
Gerhard Erasmus,0,Long Off
Gerhard Erasmus,0,Long Off
Stephan Baard,0,Third Man
Stephan Baard,0,Third Man
Stephan Baard,1,Mid Wicket
Gerhard Erasmus,0,Fine Leg
Gerhard Erasmus,0,Covers
Gerhard Erasmus,0,Long Off
Stephan Baard,0,Long Off
Stephan Baard,4,Square Leg
Stephan Baard,0,Long Off
Stephan Baard,0,NULL
Jan Nicol Loftie,1,Long Off
Gerhard Erasmus,2,Third Man
Jan Nicol Loftie,2,Square Leg
Jan Nicol Loftie,1,Point
Gerhard Erasmus,0,Covers
Gerhard Erasmus,1,Square Leg
Jan Nicol Loftie,1,Fine Leg
Gerhard Erasmus,0,Fine Leg
Jan Nicol Loftie,0,Third Man
David Wiese,2,Fine Leg
David Wiese,1,Point
Gerhard Erasmus,1,Point
David Wiese,0,Fine Leg
David Wiese,0,Long Off
Gerhard Erasmus,0,Covers
Gerhard Erasmus,1,Point
David Wiese,1,Covers
Gerhard Erasmus,4,Mid Wicket
Gerhard Erasmus,1,Third Man
David Wiese,4,Third Man
Gerhard Erasmus,1,Point
David Wiese,0,Long On
David Wiese,0,Point
David Wiese,2,Mid Wicket
David Wiese,1,Covers
Gerhard Erasmus,1,Square Leg
Gerhard Erasmus,0,Covers
Gerhard Erasmus,0,Covers
Gerhard Erasmus,5,Fine Leg
Gerhard Erasmus,0,Third Man
JJ Smit,1,Point
David Wiese,3,Fine Leg
JJ Smit,1,Covers
JJ Smit,0,Third Man
JJ Smit,1,Long Off
David Wiese,1,Covers
JJ Smit,1,Long Off
David Wiese,5,Point
David Wiese,1,Long On
JJ Smit,4,Third Man
David Wiese,1,Covers
JJ Smit,1,Mid Wicket
David Wiese,0,Covers
David Wiese,1,Covers
JJ Smit,0,Long On
JJ Smit,0,Covers
David Wiese,0,Mid Wicket
David Wiese,0,Covers
David Wiese,1,Covers
Zane Green,0,NULL
Jan Frylinck,1,Covers
David Wiese,0,Mid Wicket
Jan Frylinck,0,Third Man
Jan Frylinck,0,Long On
Jan Frylinck,2,Square Leg
Jan Frylinck,4,Fine Leg
Jan Frylinck,0,Third Man
Jan Frylinck,1,Covers
Jan Frylinck,1,Square Leg
David Wiese,1,Long On
Jan Frylinck,0,Third Man
Jan Frylinck,5,Point
David Wiese,3,Mid Wicket
Jan Frylinck,2,Point
David Wiese,1,Mid Wicket
Jan Frylinck,0,Third Man
Jan Frylinck,1,Fine Leg
Jan Frylinck,0,Long Off
Jan Frylinck,1,Mid Wicket
David Wiese,0,Long Off
Jan Frylinck,2,Mid Wicket
Ruben Trumpelmann,0,Point
Ruben Trumpelmann,0,Fine Leg
Ruben Trumpelmann,6,Long On
Ruben Trumpelmann,4,Mid Wicket
Ruben Trumpelmann,2,Mid Wicket
Ruben Trumpelmann,1,Square Leg
Lokesh Rahul,1,Square Leg
Rohit Sharma,0,Third Man
Rohit Sharma,4,Fine Leg
Rohit Sharma,1,Square Leg
Lokesh Rahul,0,Point
Lokesh Rahul,0,Long Off
Rohit Sharma,0,Mid Wicket
Rohit Sharma,0,Long Off
